self_time	total_time	line	self_time_per_call	method	num_calls	total_time_per_call	file
0.0146302	0.0146302	0	1.5835092162656535e-07	"method 'end' of 're.Match' objects"	92391	1.5835092162656535e-07	null
0.006624	0.006624	0	2.4468085106382976e-07	"method 'groupdict' of 're.Match' objects"	27072	2.4468085106382976e-07	null
1.6999999999999998e-06	1.6999999999999998e-06	0	8.499999999999999e-07	"method 'total_seconds' of 'datetime.timedelta' objects"	2	8.499999999999999e-07	null
0.0007463999999999999	0.0007463999999999999	0	3.245217391304347e-05	"built-in method nt.stat"	23	3.245217391304347e-05	null
5.52e-05	5.52e-05	0	5.52e-05	"built-in method nt.listdir"	1	5.52e-05	null
2.8e-06	2.8e-06	0	2.3333333333333333e-07	"built-in method nt.fspath"	12	2.3333333333333333e-07	null
0.014253	0.014253	0	0.0071265	"method 'acquire' of '_thread.lock' objects"	2	0.0071265	null
1.37e-05	1.37e-05	0	1.37e-06	"built-in method _thread.allocate_lock"	10	1.37e-06	null
2.4e-06	2.4e-06	0	1.7142857142857143e-07	"built-in method _thread.get_ident"	14	1.7142857142857143e-07	null
0.00017089999999999998	0.00017089999999999998	0	4.2724999999999995e-05	"method 'read' of '_io.FileIO' objects"	4	4.2724999999999995e-05	null
3.8599999999999996e-05	3.8599999999999996e-05	0	5.514285714285714e-06	"method 'write' of '_io.FileIO' objects"	7	5.514285714285714e-06	null
8.829999999999999e-05	8.829999999999999e-05	0	8.829999999999999e-05	"method 'write' of '_io.BufferedWriter' objects"	1	8.829999999999999e-05	null
3.99e-05	3.99e-05	0	3.99e-05	"method 'read' of '_io.BufferedReader' objects"	1	3.99e-05	null
2.7e-06	2.7e-06	0	1.8e-07	"method 'flush' of '_io._IOBase' objects"	15	1.8e-07	null
0.00039299999999999996	0.00039299999999999996	0	0.00019649999999999998	"built-in method io.open"	2	0.00019649999999999998	null
2.5699999999999998e-05	2.5699999999999998e-05	0	2.5699999999999998e-05	"method 'decode' of 'bytes' objects"	1	2.5699999999999998e-05	null
