file	self_time_per_call	self_time	num_calls	line	total_time_per_call	total_time	method
"C:/Users/kyle/code/mo-parsing/mo_parsing/core.py"	0.0575423	0.0575423	1	323	1.7465829	1.7465829	"scanString"
"C:/Users/kyle/code/mo-parsing/mo_parsing/core.py"	1.2e-05	1.2e-05	1	378	1.7466051	1.7466051	"transformString"
"C:/Users/kyle/code/mo-parsing/mo_parsing/core.py"	5.6e-06	5.6e-06	1	528	3.12e-05	3.12e-05	"__mul__"
"C:/Users/kyle/code/mo-parsing/mo_parsing/core.py"	3.2999999999999997e-06	3.2999999999999997e-06	1	631	3.46e-05	3.46e-05	"__getitem__"
"C:/Users/kyle/code/mo-parsing/mo_parsing/core.py"	3e-07	6e-07	2	680	3e-07	6e-07	"streamline"
"C:/Users/kyle/code/mo-parsing/mo_parsing/core.py"	2e-07	2e-07	1	706	2e-07	2e-07	"__eq__"
"C:/Users/kyle/code/mo-parsing/mo_parsing/core.py"	1.9026354198448103e-07	0.0461469	242542	712	2.6297301085997476e-07	0.06378199999999999	"__hash__"
"C:/Users/kyle/code/mo-parsing/mo_parsing/utils.py"	1.0333333333333333e-06	3.1e-06	3	130	1.0333333333333333e-06	3.1e-06	"is_forward"
"C:/Users/kyle/code/mo-parsing/mo_parsing/utils.py"	1.1099999999999999e-05	1.1099999999999999e-05	1	232	4.8e-05	4.8e-05	"wrap_parse_action"
"C:/Users/kyle/code/mo-parsing/mo_parsing/cache.py"	1.9218362180570787e-07	0.0233063	121271	39	8.086096428659778e-07	0.09806089999999999	"get"
"C:/Users/kyle/code/mo-parsing/mo_parsing/cache.py"	3.908922990657288e-07	0.0474039	121271	42	6.667199907644861e-07	0.08085379999999999	"set"
"C:/Users/kyle/code/mo-parsing/mo_parsing/cache.py"	0.0001417	0.0001417	1	45	0.40288759999999996	0.40288759999999996	"clear"
"C:/Users/kyle/code/mo-parsing/mo_parsing/cache.py"	6.5999999999999995e-06	6.5999999999999995e-06	1	61	0.402906	0.402906	"resetCache"
"C:/Users/kyle/code/mo-parsing/mo_parsing/engine.py"	4.8e-06	4.8e-06	1	18	1.13e-05	1.13e-05	"__init__"
"C:/Users/kyle/code/mo-parsing/mo_parsing/engine.py"	5e-07	5e-07	1	29	5e-07	5e-07	"__enter__"
"C:/Users/kyle/code/mo-parsing/mo_parsing/enhancement.py"	5.5e-06	5.5e-06	1	38	1.74e-05	1.74e-05	"__init__"
"C:/Users/kyle/code/mo-parsing/mo_parsing/enhancement.py"	1.1e-06	1.1e-06	1	46	9.4e-06	9.4e-06	"copy"
"C:/Users/kyle/code/mo-parsing/mo_parsing/enhancement.py"	1.2e-06	2.4e-06	2	64	1.6999999999999998e-06	3.3999999999999996e-06	"streamline"
"C:/Users/kyle/code/mo-parsing/mo_parsing/results.py"	1.1e-06	1.1e-06	1	157	1.2999999999999998e-06	1.2999999999999998e-06	"__iter__"
"C:/Users/kyle/code/mo-parsing/mo_parsing/results.py"	7.3999999999999995e-06	7.3999999999999995e-06	1	142	2.07e-05	2.07e-05	"__bool__"
"C:/Users/kyle/code/mo-parsing/mo_parsing/results.py"	8.2e-06	8.2e-06	1	221	1.07e-05	1.07e-05	"iteritems"
"C:/Users/kyle/code/mo-parsing/mo_parsing/enhancement.py"	4.1e-06	4.1e-06	1	169	2.33e-05	2.33e-05	"__init__"
"C:/Users/kyle/code/mo-parsing/mo_parsing/enhancement.py"	1.9e-06	1.9e-06	1	186	1.13e-05	1.13e-05	"copy"
"C:/Users/kyle/code/mo-parsing/mo_parsing/enhancement.py"	3e-07	3e-07	1	193	3e-07	3e-07	"stopOn"
"C:/Users/kyle/code/mo-parsing/mo_parsing/enhancement.py"	1.4119254555949533e-06	0.0856121	60635	197	1.1910464253319039e-05	0.7221909999999999	"parseImpl"
"C:/Users/kyle/code/mo-parsing/mo_parsing/tokens.py"	3.1e-06	3.1e-06	1	998	1.28e-05	1.28e-05	"__init__"
"C:/Users/kyle/code/mo-parsing/mo_parsing/tokens.py"	4.9999999999999996e-06	4.9999999999999996e-06	1	1072	3.1e-05	3.1e-05	"__init__"
"C:/Users/kyle/code/mo-parsing/mo_parsing/tokens.py"	6.35459133188205e-07	0.038531699999999995	60636	1077	1.1996866547925323e-06	0.0727442	"parseImpl"
"C:/Users/kyle/code/mo-parsing/mo_parsing/helpers.py"	1.4e-06	1.4e-06	1	131	1.6e-06	1.6e-06	"_flatten"
"C:/Users/kyle/code/mo-parsing/mo_parsing/helpers.py"	5e-07	5e-07	1	588	5e-07	5e-07	"replaceWith"
"C:/Users/kyle/code/mo-parsing/mo_parsing/helpers.py"	8e-07	8e-07	1	1040	8e-07	8e-07	"reset_stack"
