line	num_calls	total_time_per_call	total_time	file	method	self_time	self_time_per_call
680	2	2.5e-07	5e-07	"C:/Users/kyle/code/mo-parsing/mo_parsing/core.py"	"streamline"	5e-07	2.5e-07
706	1	2e-07	2e-07	"C:/Users/kyle/code/mo-parsing/mo_parsing/core.py"	"__eq__"	2e-07	2e-07
712	242542	2.6930799614087455e-07	0.0653185	"C:/Users/kyle/code/mo-parsing/mo_parsing/core.py"	"__hash__"	0.0469384	1.9352689431108838e-07
130	3	7.666666666666667e-07	2.3e-06	"C:/Users/kyle/code/mo-parsing/mo_parsing/utils.py"	"is_forward"	2.3e-06	7.666666666666667e-07
232	1	4.66e-05	4.66e-05	"C:/Users/kyle/code/mo-parsing/mo_parsing/utils.py"	"wrap_parse_action"	1.06e-05	1.06e-05
18	1	1.14e-05	1.14e-05	"C:/Users/kyle/code/mo-parsing/mo_parsing/engine.py"	"__init__"	4.9e-06	4.9e-06
39	121271	7.890666358816205e-07	0.0956909	"C:/Users/kyle/code/mo-parsing/mo_parsing/cache.py"	"get"	0.023125299999999998	1.9069109679972952e-07
42	121271	6.573814019839862e-07	0.0797213	"C:/Users/kyle/code/mo-parsing/mo_parsing/cache.py"	"set"	0.0460997	3.801378730281766e-07
45	1	0.4020764	0.4020764	"C:/Users/kyle/code/mo-parsing/mo_parsing/cache.py"	"clear"	0.0001449	0.0001449
29	1	7e-07	7e-07	"C:/Users/kyle/code/mo-parsing/mo_parsing/engine.py"	"__enter__"	7e-07	7e-07
61	1	0.40209429999999996	0.40209429999999996	"C:/Users/kyle/code/mo-parsing/mo_parsing/cache.py"	"resetCache"	7.499999999999999e-06	7.499999999999999e-06
37	1	7e-07	7e-07	"C:/Users/kyle/code/mo-parsing/mo_parsing/engine.py"	"__exit__"	7e-07	7e-07
52	1	2.8e-06	2.8e-06	"C:/Users/kyle/code/mo-parsing/mo_parsing/engine.py"	"normalize"	2.2e-06	2.2e-06
92	1	5.0999999999999995e-06	5.0999999999999995e-06	"C:/Users/kyle/code/mo-parsing/mo_parsing/engine.py"	"set_whitespace"	3.2e-06	3.2e-06
104	181906	1.0770606796917087e-06	0.19592379999999998	"C:/Users/kyle/code/mo-parsing/mo_parsing/engine.py"	"skip"	0.168881	9.283970842083274e-07
176	303178	7.569216763749348e-08	0.0229482	"C:/Users/kyle/code/mo-parsing/mo_parsing/engine.py"	"noop"	0.0229482	7.569216763749348e-08
17	60635	5.177290343860806e-07	0.0313925	"C:/Users/kyle/code/mo-parsing/mo_parsing/exceptions.py"	"__init__"	0.025724999999999998	4.242599158901624e-07
27	1	1.6e-06	1.6e-06	"C:/Users/kyle/code/mo-parsing/mo_parsing/results.py"	"__init__"	1.6e-06	1.6e-06
142	1	1.81e-05	1.81e-05	"C:/Users/kyle/code/mo-parsing/mo_parsing/results.py"	"__bool__"	6.699999999999999e-06	6.699999999999999e-06
157	1	1.1e-06	1.1e-06	"C:/Users/kyle/code/mo-parsing/mo_parsing/results.py"	"__iter__"	9e-07	9e-07
221	1	9.1e-06	9.1e-06	"C:/Users/kyle/code/mo-parsing/mo_parsing/results.py"	"iteritems"	7.3999999999999995e-06	7.3999999999999995e-06
38	1	1.88e-05	1.88e-05	"C:/Users/kyle/code/mo-parsing/mo_parsing/enhancement.py"	"__init__"	6.1e-06	6.1e-06
46	1	1.05e-05	1.05e-05	"C:/Users/kyle/code/mo-parsing/mo_parsing/enhancement.py"	"copy"	1.9e-06	1.9e-06
64	2	1.9e-06	3.8e-06	"C:/Users/kyle/code/mo-parsing/mo_parsing/enhancement.py"	"streamline"	3.1e-06	1.55e-06
169	1	2.51e-05	2.51e-05	"C:/Users/kyle/code/mo-parsing/mo_parsing/enhancement.py"	"__init__"	4.6e-06	4.6e-06
186	1	1.2699999999999999e-05	1.2699999999999999e-05	"C:/Users/kyle/code/mo-parsing/mo_parsing/enhancement.py"	"copy"	2.2e-06	2.2e-06
193	1	3e-07	3e-07	"C:/Users/kyle/code/mo-parsing/mo_parsing/enhancement.py"	"stopOn"	3e-07	3e-07
197	60635	1.1876388224622742e-05	0.7201248	"C:/Users/kyle/code/mo-parsing/mo_parsing/enhancement.py"	"parseImpl"	0.0847525	1.397748824936093e-06
998	1	1.4e-05	1.4e-05	"C:/Users/kyle/code/mo-parsing/mo_parsing/tokens.py"	"__init__"	3.6999999999999997e-06	3.6999999999999997e-06
